date,Bitcoin,Crypto crash
2020-12-27,54,0
2021-01-03,85,0
2021-01-10,84,0
2021-01-17,52,0
2021-01-24,49,0
2021-01-31,45,0
2021-02-07,78,0
2021-02-14,74,0
2021-02-21,88,0
2021-02-28,54,0
2021-03-07,52,0
2021-03-14,53,0
2021-03-21,46,0
2021-03-28,45,0
2021-04-04,42,0
2021-04-11,55,0
2021-04-18,71,0
2021-04-25,51,0
2021-05-02,45,0
2021-05-09,58,0
2021-05-16,100,1
2021-05-23,69,0
2021-05-30,49,0
2021-06-06,53,0
2021-06-13,41,0
2021-06-20,51,0
2021-06-27,35,0
2021-07-04,30,0
2021-07-11,29,0
2021-07-18,34,0
2021-07-25,38,0
2021-08-01,30,0
2021-08-08,35,0
2021-08-15,33,0
2021-08-22,33,0
2021-08-29,28,0
2021-09-05,37,0
2021-09-12,27,0
2021-09-19,34,0
2021-09-26,28,0
2021-10-03,34,0
2021-10-10,36,0
2021-10-17,47,0
2021-10-24,37,0
2021-10-31,31,0
2021-11-07,40,0
2021-11-14,36,0
2021-11-21,37,0
2021-11-28,37,0
2021-12-05,39,0
2021-12-12,35,0
2021-12-19,31,0
2021-12-26,31,0
2022-01-02,41,0
2022-01-09,39,0
2022-01-16,40,0
2022-01-23,53,0
2022-01-30,39,0
2022-02-06,38,0
2022-02-13,31,0
2022-02-20,41,0
2022-02-27,37,0
2022-03-06,32,0
2022-03-13,29,0
2022-03-20,27,0
2022-03-27,30,0
2022-04-03,26,0
2022-04-10,26,0
2022-04-17,22,0
2022-04-24,24,0
2022-05-01,26,0
2022-05-08,57,1
2022-05-15,38,0
2022-05-22,31,0
2022-05-29,25,0
2022-06-05,25,0
2022-06-12,68,1
2022-06-19,48,0
2022-06-26,37,0
2022-07-03,33,0
2022-07-10,30,0
2022-07-17,30,0
2022-07-24,27,0
2022-07-31,25,0
2022-08-07,23,0
2022-08-14,24,0
2022-08-21,22,0
2022-08-28,23,0
2022-09-04,22,0
2022-09-11,22,0
2022-09-18,23,0
2022-09-25,20,0
2022-10-02,19,0
2022-10-09,18,0
2022-10-16,17,0
2022-10-23,18,0
2022-10-30,18,0
2022-11-06,35,0
2022-11-13,32,0
2022-11-20,23,0
2022-11-27,20,0
2022-12-04,19,0
2022-12-11,19,0
2022-12-18,17,0
2022-12-25,18,0
2023-01-01,18,0
2023-01-08,20,0
2023-01-15,24,0
2023-01-22,23,0
2023-01-29,21,0
2023-02-05,19,0
2023-02-12,19,0
2023-02-19,19,0
2023-02-26,18,0
2023-03-05,20,0
2023-03-12,26,0
2023-03-19,27,0
2023-03-26,24,0
2023-04-02,21,0
2023-04-09,24,0
2023-04-16,22,0
2023-04-23,21,0
2023-04-30,20,0
2023-05-07,20,0
2023-05-14,17,0
2023-05-21,17,0
2023-05-28,17,0
2023-06-04,19,0
2023-06-11,18,0
2023-06-18,22,0
2023-06-25,21,0
2023-07-02,19,0
2023-07-09,20,0
2023-07-16,19,0
2023-07-23,19,0
2023-07-30,17,0
2023-08-06,17,0
2023-08-13,20,0
2023-08-20,19,0
2023-08-27,18,0
2023-09-03,16,0
2023-09-10,16,0
2023-09-17,15,0
2023-09-24,15,0
2023-10-01,16,0
2023-10-08,16,0
2023-10-15,18,0
2023-10-22,26,0
2023-10-29,21,0
2023-11-05,23,0
2023-11-12,21,0
2023-11-19,21,0
2023-11-26,21,0
2023-12-03,31,0
2023-12-10,25,0
2023-12-17,23,0
2023-12-24,23,0
2023-12-31,29,0
2024-01-07,42,0
2024-01-14,26,0
2024-01-21,23,0
2024-01-28,20,0
2024-02-04,20,0
2024-02-11,32,0
2024-02-18,23,0
2024-02-25,43,0
2024-03-03,52,0
2024-03-10,47,0
2024-03-17,39,0
2024-03-24,33,0
2024-03-31,31,0
2024-04-07,33,0
2024-04-14,43,0
2024-04-21,27,0
2024-04-28,27,0
2024-05-05,22,0
2024-05-12,21,0
2024-05-19,24,0
2024-05-26,20,0
2024-06-02,20,0
2024-06-09,20,0
2024-06-16,19,0
2024-06-23,19,0
2024-06-30,21,0
2024-07-07,21,0
2024-07-14,24,0
2024-07-21,24,0
2024-07-28,22,0
2024-08-04,33,0
2024-08-11,22,0
2024-08-18,20,0
2024-08-25,19,0
2024-09-01,19,0
2024-09-08,19,0
2024-09-15,18,0
2024-09-22,19,0
2024-09-29,17,0
2024-10-06,18,0
2024-10-13,18,0
2024-10-20,17,0
2024-10-27,23,0
2024-11-03,36,0
2024-11-10,65,0
2024-11-17,56,0
2024-11-24,42,0
2024-12-01,49,0
2024-12-08,40,0
2024-12-15,44,0
2024-12-22,35,0
2024-12-29,32,0
2025-01-05,32,0
2025-01-12,32,0
2025-01-19,41,0
2025-01-26,31,0
2025-02-02,32,0
2025-02-09,23,0
2025-02-16,22,0
2025-02-23,34,0
2025-03-02,37,0
2025-03-09,32,0
2025-03-16,23,0
2025-03-23,21,0
2025-03-30,25,0
2025-04-06,31,0
2025-04-13,19,0
2025-04-20,23,0
2025-04-27,19,0
2025-05-04,22,0
2025-05-11,22,0
2025-05-18,28,0
2025-05-25,22,0
2025-06-01,20,0
2025-06-08,21,0
2025-06-15,19,0
2025-06-22,22,0
2025-06-29,19,0
2025-07-06,26,0
2025-07-13,32,0
2025-07-20,26,0
2025-07-27,27,0
2025-08-03,32,0
2025-08-10,46,0
2025-08-17,41,0
2025-08-24,35,0
2025-08-31,30,0
2025-09-07,27,0
2025-09-14,26,0
2025-09-21,28,0
2025-09-28,29,0
2025-10-05,38,1
2025-10-12,41,1
2025-10-19,32,0
2025-10-26,28,0
2025-11-02,34,0
2025-11-09,33,0
2025-11-16,54,0
2025-11-23,41,0
2025-11-30,42,0
2025-12-07,30,0
2025-12-14,31,0
2025-12-21,25,0
2025-12-28,24,0
